"ProcessId","Id","ProcessName","CommandLine"
"30016",,"python.exe","C:\ProgramData\Anaconda3\envs\torch2\python.exe run_experiment.py shakespeare_s0.3 FuzzyFL --lr 0.1 --sampling_rate 0.5 --pre_rounds 1 --n_clusters 3 --top 3 --fuzzy_m 1.5 --trans 0.75 --min_fuzzy_m 1.5 --fuzzy_m_scheduler constant --fuzzy_m_momentum 0.8 --measurement loss --minibatch --n_rounds 200 --n_learners 1 --lr_scheduler multi_step --optimizer sgd --bz 256 --local_steps 1 --log_freq 2 --seed 1234 --verbose 1 --logs_root logs/shakespeare_s0.3/FuzzyFL/lr_0.1_samp_0.5/pre_1_m_1.5_trans_0.75_sch_constant_mt_0.8_msu_loss"
"26988",,"python.exe","C:\ProgramData\Anaconda3\envs\torch2\python.exe run_experiment.py shakespeare_s0.3 FuzzyFL --lr 0.1 --sampling_rate 0.5 --pre_rounds 1 --n_clusters 3 --top 3 --fuzzy_m 1.6 --trans 0.75 --min_fuzzy_m 1.5 --fuzzy_m_scheduler constant --fuzzy_m_momentum 0.8 --measurement loss --minibatch --n_rounds 200 --n_learners 1 --lr_scheduler multi_step --optimizer sgd --bz 256 --local_steps 1 --log_freq 2 --seed 1234 --verbose 1 --logs_root logs/shakespeare_s0.3/FuzzyFL/lr_0.1_samp_0.5/pre_1_m_1.6_trans_0.75_sch_constant_mt_0.8_msu_loss"
"24124",,"python.exe","C:\ProgramData\Anaconda3\envs\torch2\python.exe run_experiment.py shakespeare_s0.3 FuzzyFL --lr 0.1 --sampling_rate 0.5 --pre_rounds 1 --n_clusters 3 --top 3 --fuzzy_m 1.7 --trans 0.75 --min_fuzzy_m 1.5 --fuzzy_m_scheduler constant --fuzzy_m_momentum 0.8 --measurement loss --minibatch --n_rounds 200 --n_learners 1 --lr_scheduler multi_step --optimizer sgd --bz 256 --local_steps 1 --log_freq 2 --seed 1234 --verbose 1 --logs_root logs/shakespeare_s0.3/FuzzyFL/lr_0.1_samp_0.5/pre_1_m_1.7_trans_0.75_sch_constant_mt_0.8_msu_loss"
"6548",,"python.exe","C:\ProgramData\Anaconda3\envs\torch2\python.exe run_experiment.py shakespeare_s0.3 FuzzyFL --lr 0.1 --sampling_rate 0.5 --pre_rounds 1 --n_clusters 3 --top 3 --fuzzy_m 1.8 --trans 0.75 --min_fuzzy_m 1.5 --fuzzy_m_scheduler constant --fuzzy_m_momentum 0.8 --measurement loss --minibatch --n_rounds 200 --n_learners 1 --lr_scheduler multi_step --optimizer sgd --bz 256 --local_steps 1 --log_freq 2 --seed 1234 --verbose 1 --logs_root logs/shakespeare_s0.3/FuzzyFL/lr_0.1_samp_0.5/pre_1_m_1.8_trans_0.75_sch_constant_mt_0.8_msu_loss"
